n/n0,P/P_free
3.1833, 0.34616
3.3866, 0.37280
3.5284, 0.39085
3.6968, 0.40822
4.0480, 0.44193
4.3742, 0.46869
4.7415, 0.49491
5.1396, 0.51995
5.5906, 0.54412
6.0813, 0.56755
6.6150, 0.59128
7.1956, 0.61501
7.8941, 0.63920
8.5740, 0.66189
9.3265, 0.68576
10.145, 0.70978
11.008, 0.73528
11.962, 0.75844
13.012, 0.78211
14.204, 0.80572
15.450, 0.82959
16.399, 0.84800
7.6643, 0.80569
7.2462, 0.78554
6.7794, 0.75968
6.3426, 0.73354
5.9339, 0.70698
5.5711, 0.68174
5.2488, 0.65665
4.9625, 0.63236
4.6919, 0.60762
4.4360, 0.58317
4.1940, 0.55844
3.9653, 0.53311
3.7490, 0.50721
3.5570, 0.48172
3.3748, 0.45584
3.1907, 0.42803
